DEBUG ---- ⚕ | UTIL_CLOG | This is a debug message.
INFO ----- 🛈 | UTIL_CLOG | This is an info message.
SUCCESS -- ☀ | UTIL_CLOG | This is a success message.
WARNING -- ⚠ | UTIL_CLOG | This is a warning message.
ERROR --- ⚠⚠ | UTIL_CLOG | This is an error message.
CRITICAL - X | UTIL_CLOG | This is a critical message.
WATCHDOG - ⛨ | UTIL_CLOG | This is a watchdog message.
BORDER ----- | ___ 𓃵 ___ |
INFO ----- 🛈 | HTML_RETR | Starting requests session for Robots.txt
INFO ----- 🛈 | HTML_RETR | Starting Selenium
SUCCESS -- ☀ | HTML_RETR | Allowed to scrape : https://www.environmentallights.com/19072-px-spi-v2.html as per robots.txt
INFO ----- 🛈 | HTML_RETR | OPENING FILE environmentallights_com/Pixel LED SPI Digital Controller
